product_id,supplier_platform,supplier_country,source_currency,selected_unit_price,fx_rate_to_thb,supplier_cost_thb_est,international_shipping_thb,source_cost_with_shipping_thb_est,observed_min_delivered_price_thb_obs,observed_max_delivered_price_thb_obs,observed_listing_count,rough_price_headroom_thb_est,rough_price_headroom_pct_est,match_quality,source_reference
p001,alibaba,China,USD,8.5,35.0,297.5,4.22,301.72,734,734,1,432.28,0.5889373297002725,high,alibaba_p001_30l_foldable_organizer
p002,alibaba,China,USD,5.5,35.0,192.5,0.0,192.5,166,537,2,-26.5,-0.15963855421686746,high,alibaba_p002_yicosun_foldable_laptop_stand
